White Rating,Black Rating,accdiff,misdiff,blundiff,Winner
1441,1559,0,-2,-1,White
1258,1567,0,0,1,Black
1697,1712,0,0,-2,White
1978,1868,-3,0,-1,White
2073,1816,-3,-1,0,White
1944,2052,0,-1,1,Black
1500,2058,-1,0,-2,White
1880,1919,-3,-1,0,White
2209,2185,0,-1,2,Black
2296,2323,-2,4,1,White
2320,2305,1,2,-3,White
1751,2303,1,0,0,Black
2301,1949,-1,-3,0,White
2299,1914,1,-1,-1,White
2089,2304,3,0,0,Draw
2297,2041,0,-2,1,White
1630,1551,-2,1,-2,White
1208,1560,1,2,-3,White
1808,2175,0,0,1,Black
2171,1668,0,-2,-1,White
1085,2171,3,1,1,Black
1688,1718,-3,-1,0,White
1651,1675,4,0,0,White
1625,1619,-1,0,-1,White
1464,1545,-4,1,2,Draw
1535,1585,3,-2,1,Draw
1883,1899,5,-4,0,White
1921,1901,0,4,-2,Black
1595,1483,3,0,1,Black
1603,1727,1,1,2,Black
1615,1965,2,0,1,Black
2033,1902,3,1,0,Black
1901,1572,0,0,-3,White
1896,1692,-6,0,0,White
1830,1875,2,1,1,Black
1472,1284,1,0,0,Black
1958,1977,1,0,-1,Black
2005,1986,0,-1,-3,White
2038,1996,-2,-1,-1,White
2007,2000,-2,1,0,Black
1999,1901,-3,0,-2,White
1988,1954,1,-1,-2,White
1976,2000,-2,-1,-1,White
2012,2044,1,0,2,Black
1794,1784,0,2,0,Black
1805,1805,1,-1,0,Black
1869,1677,1,-1,2,Black
1856,1690,-2,0,-1,White
1846,1667,0,-2,0,White
1603,1838,0,1,2,Black
1855,1937,1,1,0,Black
1185,1190,-3,1,-3,White
1201,1173,0,0,0,Black
1568,1628,-2,0,0,Black
1531,1579,1,-2,-1,White
1673,1462,2,1,2,Black
1551,1498,-1,-1,0,White
1494,1081,-1,-1,-1,White
1912,1588,0,0,1,Black
1587,1582,-1,2,-3,White
1714,1907,-2,-2,-2,White
1672,1653,-2,-1,2,Black
1929,2297,-2,0,2,Black
1592,1521,-2,-2,-1,White
1822,1827,1,-1,-2,White
1814,1747,2,-1,-2,White
1698,1828,-6,-2,2,White
1818,1839,-1,0,1,White
1966,1438,7,1,1,Black
1935,1921,4,0,-1,White
1893,1926,3,0,-1,Black
1938,2021,-2,-1,-1,White
1500,1594,-2,-2,-1,White
1725,1728,0,0,1,Black
1703,1730,2,-2,1,Draw
1719,1700,-1,1,1,Black
1717,1664,3,-2,4,Black
1698,1671,0,2,1,Black
1645,1715,3,0,1,Black
1732,1690,1,-1,2,Black
1672,1668,0,1,0,Black
1500,1244,2,-2,-2,White
1434,1244,3,0,2,Black
1560,1722,1,0,-2,Draw
2301,2188,2,1,2,Black
